T_BME;H_BME;S1_CO2;S2_CO2;dateTime;Injection
24.2;58.0;784.0;737.0;2026-05-15T13:14:26;0.0
24.2;58.0;783.0;734.0;2026-05-15T13:14:31;0.0
24.2;58.0;783.0;735.0;2026-05-15T13:14:36;0.0
24.2;58.0;785.0;735.0;2026-05-15T13:14:41;0.0
24.2;58.0;784.0;736.0;2026-05-15T13:14:46;0.0
24.2;58.0;785.0;737.0;2026-05-15T13:14:51;0.0
24.2;58.0;786.0;738.0;2026-05-15T13:14:56;0.0
24.2;58.0;786.0;736.0;2026-05-15T13:15:02;0.0
24.2;58.0;784.0;737.0;2026-05-15T13:15:06;0.0
24.2;58.0;783.0;736.0;2026-05-15T13:15:11;0.0
24.2;58.0;783.0;735.0;2026-05-15T13:15:17;1.0
24.2;58.0;786.0;734.0;2026-05-15T13:15:21;0.0
24.2;58.0;789.0;734.0;2026-05-15T13:15:27;0.0
24.3;58.0;790.0;732.0;2026-05-15T13:15:31;0.0
24.3;58.0;790.0;731.0;2026-05-15T13:15:37;0.0
24.3;58.0;793.0;732.0;2026-05-15T13:15:41;0.0
24.3;58.0;794.0;733.0;2026-05-15T13:15:46;0.0
