T_BME;H_BME;S1_CO2;S2_CO2;dateTime;Injection
24.8;57.8;785.0;758.0;2026-05-15T13:30:25;0.0
24.8;57.8;786.0;755.0;2026-05-15T13:30:30;0.0
24.8;57.8;786.0;754.0;2026-05-15T13:30:35;0.0
24.8;57.8;785.0;753.0;2026-05-15T13:30:40;0.0
24.8;57.8;783.0;752.0;2026-05-15T13:30:45;0.0
24.8;57.8;782.0;752.0;2026-05-15T13:30:50;0.0
24.8;57.8;779.0;753.0;2026-05-15T13:30:55;0.0
24.8;57.8;781.0;753.0;2026-05-15T13:31:00;0.0
24.8;57.8;783.0;751.0;2026-05-15T13:31:05;0.0
24.8;57.8;782.0;748.0;2026-05-15T13:31:10;1.0
24.8;57.8;783.0;749.0;2026-05-15T13:31:15;0.0
24.8;57.8;783.0;749.0;2026-05-15T13:31:20;0.0
24.8;57.8;783.0;748.0;2026-05-15T13:31:25;0.0
24.8;57.8;784.0;747.0;2026-05-15T13:31:30;0.0
24.8;57.8;785.0;747.0;2026-05-15T13:31:35;0.0
24.8;57.8;786.0;747.0;2026-05-15T13:31:40;0.0
24.8;57.8;787.0;747.0;2026-05-15T13:31:45;0.0
24.8;57.8;788.0;748.0;2026-05-15T13:31:50;0.0
