T_BME5;H_BME5;S1_CO2;S2_CO2;S3_CO2;S4_CO2;dateTime;Injection
24.5;45.8;899.0;872.0;835.0;911.0;2026-06-26T15:16:52;0.0
24.5;45.8;898.0;873.0;833.0;907.0;2026-06-26T15:16:57;0.0
24.5;45.8;898.0;867.0;834.0;915.0;2026-06-26T15:17:02;0.0
24.6;45.8;897.0;864.0;833.0;914.0;2026-06-26T15:17:07;0.0
24.6;45.8;896.0;868.0;833.0;911.0;2026-06-26T15:17:12;0.0
24.6;45.7;901.0;872.0;834.0;912.0;2026-06-26T15:17:17;0.0
24.6;45.7;903.0;863.0;835.0;916.0;2026-06-26T15:17:22;0.0
24.8;58.9;903.0;862.0;837.0;920.0;2026-06-26T15:17:27;0.0
24.8;59.7;1061.0;860.0;889.0;1068.0;2026-06-26T15:17:32;0.0
24.9;58.3;1129.0;1610.0;1231.0;1465.0;2026-06-26T15:17:37;0.0
24.9;56.4;1376.0;1889.0;1432.0;1851.0;2026-06-26T15:17:42;0.0
24.9;54.7;1668.0;2062.0;1636.0;2215.0;2026-06-26T15:17:47;0.0
24.8;64.0;1908.0;2432.0;2003.0;2495.0;2026-06-26T15:17:52;0.0
24.8;64.0;2411.0;2804.0;2209.0;2744.0;2026-06-26T15:17:57;0.0
