co_3;voc_4;c2h5oh_3;c2h5oh_4;no2_2;voc_2;no2_3;voc_3;voc_1;co_2;c2h5oh_1;no2_4;no2_1;co_4;co_1;c2h5oh_2;dateTime;Injection
834.0;497.0;618.0;599.0;131.0;573.0;158.0;603.0;642.0;894.0;645.0;179.0;213.0;959.0;810.0;617.0;2026-07-14T14:38:22;0.0
834.0;498.0;618.0;599.0;131.0;573.0;159.0;604.0;642.0;894.0;644.0;178.0;213.0;959.0;811.0;617.0;2026-07-14T14:38:22;0.0
835.0;498.0;618.0;599.0;131.0;574.0;159.0;603.0;642.0;893.0;644.0;178.0;213.0;959.0;810.0;617.0;2026-07-14T14:38:22;0.0
834.0;498.0;618.0;599.0;131.0;573.0;159.0;604.0;642.0;893.0;644.0;178.0;213.0;960.0;811.0;617.0;2026-07-14T14:38:23;0.0
835.0;498.0;618.0;599.0;131.0;574.0;159.0;604.0;642.0;893.0;644.0;178.0;213.0;959.0;811.0;617.0;2026-07-14T14:38:23;0.0
835.0;498.0;619.0;599.0;130.0;573.0;158.0;603.0;641.0;894.0;644.0;178.0;213.0;959.0;811.0;617.0;2026-07-14T14:38:23;0.0
835.0;498.0;618.0;599.0;130.0;573.0;158.0;604.0;642.0;893.0;644.0;179.0;212.0;960.0;810.0;617.0;2026-07-14T14:38:24;0.0
835.0;497.0;618.0;599.0;131.0;573.0;158.0;603.0;642.0;893.0;644.0;178.0;213.0;959.0;811.0;617.0;2026-07-14T14:38:24;0.0
834.0;497.0;618.0;600.0;130.0;573.0;158.0;604.0;642.0;893.0;644.0;178.0;212.0;959.0;811.0;618.0;2026-07-14T14:38:25;0.0
835.0;498.0;617.0;599.0;131.0;573.0;158.0;603.0;642.0;893.0;645.0;178.0;212.0;959.0;811.0;617.0;2026-07-14T14:38:25;0.0
835.0;497.0;618.0;599.0;131.0;573.0;158.0;603.0;642.0;893.0;644.0;179.0;212.0;960.0;811.0;617.0;2026-07-14T14:38:25;0.0
834.0;497.0;618.0;599.0;131.0;573.0;158.0;603.0;642.0;893.0;644.0;178.0;213.0;959.0;811.0;617.0;2026-07-14T14:38:26;0.0
835.0;498.0;618.0;598.0;131.0;573.0;158.0;603.0;641.0;894.0;644.0;178.0;213.0;959.0;811.0;617.0;2026-07-14T14:38:26;0.0
835.0;498.0;618.0;599.0;131.0;573.0;158.0;604.0;642.0;893.0;644.0;178.0;213.0;959.0;811.0;617.0;2026-07-14T14:38:26;0.0
835.0;498.0;618.0;599.0;131.0;573.0;158.0;603.0;641.0;894.0;644.0;179.0;214.0;959.0;810.0;617.0;2026-07-14T14:38:27;0.0
834.0;497.0;618.0;599.0;130.0;573.0;158.0;603.0;641.0;894.0;645.0;178.0;212.0;960.0;811.0;617.0;2026-07-14T14:38:27;0.0
835.0;498.0;618.0;599.0;131.0;573.0;158.0;603.0;642.0;894.0;644.0;178.0;213.0;959.0;811.0;617.0;2026-07-14T14:38:27;0.0
